lake,station,season,depth_m,NO3,TKN,o-PO4,t-PO4,SiO2
Skaha Lake,1,APRIL,1,<0.01,0.13,0.02,0.05,0.3
Skaha Lake,1,APRIL,5,<0.01,0.16,0.01,0.05,0.2
Skaha Lake,1,APRIL,10,<0.01,0.21,0.01,0.06,0.4
Skaha Lake,1,JUNE,1,0.02,0.20,0.19,0.26,2.4
Skaha Lake,1,JUNE,5,<0.01,0.20,0.01,0.06,2.3
Skaha Lake,1,JUNE,10,<0.01,0.26,0.02,0.07,2.3
Skaha Lake,1,AUGUST,1,<0.01,0.34,<0.01,ND,3.0
Skaha Lake,1,AUGUST,5,<0.01,0.18,<0.01,ND,3.0
Skaha Lake,1,AUGUST,10,<0.01,<0.01,0.01,ND,3.0
Skaha Lake,1,OCTOBER,1,<0.01,0.38,<0.005,0.04,2.8
Skaha Lake,1,OCTOBER,5,<0.01,0.30,<0.005,0.04,2.8
Skaha Lake,1,OCTOBER,10,0.01,0.16,<0.005,0.04,2.8
Skaha Lake,2,APRIL,1,<0.01,0.23,0.01,0.05,0.3
Skaha Lake,2,APRIL,5,<0.01,0.13,0.01,0.09,0.4
Skaha Lake,2,APRIL,10,<0.01,0.20,0.01,0.05,0.4
Skaha Lake,2,APRIL,25,<0.01,0.16,0.01,0.07,0.3
Skaha Lake,2,APRIL,47,0.01,0.16,0.02,0.07,0.3
Skaha Lake,2,JUNE,1,<0.01,0.33,0.29,0.38,2.6
Skaha Lake,2,JUNE,5,<0.01,0.30,0.02,0.09,2.5
Skaha Lake,2,JUNE,10,<0.01,0.30,0.02,0.07,2.3
Skaha Lake,2,JUNE,15,<0.02,0.34,0.03,0.07,1.0
Skaha Lake,2,JUNE,20,<0.01,0.34,0.03,0.07,0.6
Skaha Lake,2,JUNE,30,<0.01,0.21,0.03,ND,0.4
Skaha Lake,2,JUNE,44,0.01,0.38,0.07,0.13,0.5
Skaha Lake,2,AUGUST,1,<0.01,<0.01,<0.01,ND,2.8
Skaha Lake,2,AUGUST,5,<0.01,<0.01,<0.01,ND,2.7
Skaha Lake,2,AUGUST,15,0.03,<0.01,0.01,ND,2.1
