lake,station,season,depth_m,NO3,TKN,o-PO4,t-PO4,SiO2
Kalamalka Lake,2,APRIL,1,0.03,0.11,0.01,0.04,10.6
Kalamalka Lake,2,APRIL,5,0.03,0.11,0.01,0.03,10.7
Kalamalka Lake,2,APRIL,10,0.02,0.18,0.01,0.03,10.6
Kalamalka Lake,2,APRIL,25,0.03,0.18,0.01,0.03,10.5
Kalamalka Lake,2,APRIL,46,0.01,0.31,0.02,0.03,10.6
Kalamalka Lake,2,JUNE,1,<0.01,0.95,0.09,0.11,9.9
Kalamalka Lake,2,JUNE,5,<0.01,0.64,<0.01,0.01,9.9
Kalamalka Lake,2,JUNE,10,0.01,0.59,0.01,0.01,9.9
Kalamalka Lake,2,JUNE,25,<0.01,0.82,<0.01,0.02,10.3
Kalamalka Lake,2,JUNE,50,0.02,0.16,0.01,0.01,10.7
Kalamalka Lake,2,JUNE,60,0.02,0.11,<0.01,0.01,10.7
Kalamalka Lake,2,AUGUST,1,<0.01,<0.01,<0.01,0.01,10.0
Kalamalka Lake,2,AUGUST,5,<0.01,0.08,<0.01,0.01,10.0
Kalamalka Lake,2,AUGUST,15,<0.01,0.10,<0.01,0.02,9.9
Kalamalka Lake,2,AUGUST,20,0.01,0.02,<0.01,0.03,10.1
Kalamalka Lake,2,AUGUST,40,0.02,<0.01,<0.01,ND,10.4
Kalamalka Lake,2,AUGUST,50,0.03,<0.01,<0.01,ND,10.7
Kalamalka Lake,2,OCTOBER,1,<0.01,<0.01,<0.005,0.005,10.3
Kalamalka Lake,2,OCTOBER,15,<0.01,0.10,<0.005,0.005,10.3
Kalamalka Lake,2,OCTOBER,20,<0.01,0.23,<0.005,0.005,10.3
Kalamalka Lake,2,OCTOBER,30,0.03,0.16,<0.005,0.009,10.8
Kalamalka Lake,2,OCTOBER,50,0.02,0.15,<0.005,0.006,10.8
Kalamalka Lake,4,APRIL,1,0.02,0.28,0.33,0.37,10.8
Kalamalka Lake,4,APRIL,5,0.02,0.33,0.03,0.04,10.4
Kalamalka Lake,4,APRIL,10,0.02,<0.01,0.01,0.01,10.4
Kalamalka Lake,4,APRIL,25,0.02,0.23,0.02,0.03,10.5
Kalamalka Lake,4,APRIL,50,0.02,0.25,0.01,0.03,10.4
Kalamalka Lake,4,APRIL,78,0.03,0.20,0.01,0.03,10.6
Kalamalka Lake,4,JUNE,1,<0.01,0.18,0.09,0.10,10.7
Kalamalka Lake,4,JUNE,5,<0.01,0.18,0.01,0.04,10.0
Kalamalka Lake,4,JUNE,10,<0.01,0.18,0.01,0.02,10.0
Kalamalka Lake,4,JUNE,25,<0.01,0.07,<0.01,0.02,10.3
Kalamalka Lake,4,JUNE,50,0.01,0.16,<0.01,0.01,10.6
Kalamalka Lake,4,JUNE,100,0.02,0.23,<0.01,0.01,10.7
Kalamalka Lake,4,AUGUST,1,<0.01,<0.01,<0.01,0.01,9.9
Kalamalka Lake,4,AUGUST,5,0.02,<0.01,<0.01,0.01,10.0
Kalamalka Lake,4,AUGUST,10,0.01,0.15,<0.01,0.01,10.0
Kalamalka Lake,4,AUGUST,25,<0.01,<0.01,<0.01,0.03,10.1
Kalamalka Lake,4,AUGUST,50,0.02,<0.01,<0.01,0.01,.0.4
Kalamalka Lake,4,AUGUST,90,0.04,<0.01,<0.01,0.01,10.8
Kalamalka Lake,4,OCTOBER,1,<0.01,0.10,<0.005,0.008,10.6
Kalamalka Lake,4,OCTOBER,5,<0.01,0.02,<0.005,0.01,10.0
Kalamalka Lake,4,OCTOBER,10,<0.01,0.13,<0.005,<0.005,10.1
Kalamalka Lake,4,OCTOBER,25,<0.01,0.05,<0.005,0.01,10.1
Kalamalka Lake,4,OCTOBER,50,0.02,9.11,<0.005,0.01,10.6
Kalamalka Lake,4,OCTOBER,100,0.05,0.23,<0.005,0.01,10.8
